Major,Industry,Avg_Salary,Employment_Rate
COMMUNICATIONS,Communications & Journalism,35000,92.4823024
CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy,35000,91.7547801
COMMERCIAL ART AND GRAPHIC DESIGN,Arts,35000,90.3202423
JOURNALISM,Communications & Journalism,35000,93.0823558
MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,35000,94.4193185
ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,35000,93.2039234
AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,35000,93.6570711
SPECIAL NEEDS EDUCATION,Education,35000,95.8492181
PHYSIOLOGY,Biology & Life Science,35000,93.08372
CRIMINOLOGY,Social Science,35000,90.2756081
NUTRITION SCIENCES,Health,35000,93.1299324
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,35000,91.0373738
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,35000,88.0488531
TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,35000,92.7275476
NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,35000,93.3380805
NEUROSCIENCE,Biology & Life Science,35000,95.1518325
MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary,35000,92.9139073
ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,35000,97.7771445
FORESTRY,Agriculture & Natural Resources,35000,90.32742569999999
SOIL SCIENCE,Agriculture & Natural Resources,35000,100.0
GENERAL EDUCATION,Education,34000,94.2640071
HISTORY,Humanities & Liberal Arts,34000,90.43330879999999
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,34000,92.4433614
INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,34000,91.6366469
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,34000,94.5917059
COMMUNITY AND PUBLIC HEALTH,Health,34000,88.7855613
MATHEMATICS TEACHER EDUCATION,Education,34000,98.3797165
EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,34000,100.0
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,33500,93.0220288
MISCELLANEOUS BIOLOGY,Biology & Life Science,33500,94.1454545
BIOLOGY,Biology & Life Science,33400,92.9275268
SOCIOLOGY,Social Science,33000,91.5048999
MASS MEDIA,Communications & Journalism,33000,91.0163173
TREATMENT THERAPY PROFESSIONS,Health,33000,94.0178793
HOSPITALITY MANAGEMENT,Business,33000,93.8830807
LANGUAGE AND DRAMA EDUCATION,Education,33000,94.9693565
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,33000,89.556429
MISCELLANEOUS EDUCATION,Education,33000,94.0788049
INTERDISCIPLINARY SOCIAL SCIENCES,Social Science,33000,90.7694184
ECOLOGY,Biology & Life Science,33000,94.5524807
SECONDARY TEACHER EDUCATION,Education,32500,94.777102
GENERAL MEDICAL AND HEALTH SERVICES,Health,32400,91.7898379
PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,32200,90.3948316
ART AND MUSIC EDUCATION,Education,32100,96.1362253
ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,32000,91.227641
ELEMENTARY EDUCATION,Education,32000,95.3414285
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,32000,94.8532727
LIBERAL ARTS,Humanities & Liberal Arts,32000,92.1732408
FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,32000,89.422776
GENERAL SOCIAL SCIENCES,Social Science,32000,89.6545285
PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,32000,95.4545455
SCIENCE AND COMPUTER TEACHER EDUCATION,Education,32000,95.2736318
PSYCHOLOGY,Psychology & Social Work,31500,91.6189133
MUSIC,Arts,31000,92.4040326
